player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Indy Boonen,be BEL,FW,Oostende,22-057,1999,7.0,2.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,4.0,7.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0
Louis Bostyn,be BEL,GK,Zulte Waregem,27-149,1993,23.0,23.0,2070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Botaka,cd COD,"MF,DF",Gent,27-251,1993,8.0,4.0,387.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,3.0,1.0,33.3,0.7,0.23,0.0,0.0,0.0,4.0,1.0,1.0,13.0,2.0,7.0,0.0,0.0,0.0
Jordan Botaka,cd COD,"DF,MF",Charleroi,27-251,1993,6.0,6.0,520.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,5.8,5.0,2.0,40.0,0.87,0.35,0.0,0.0,0.0,3.0,5.0,0.0,11.0,9.0,12.0,0.0,0.0,0.0
Pierre Bourdin,fr FRA,"MF,DF",Beerschot,27-055,1994,26.0,20.0,1835.0,3.0,1.0,0.0,0.0,3.0,0.0,0.15,0.05,0.2,0.15,0.2,20.4,8.0,2.0,25.0,0.39,0.1,0.38,1.5,0.0,15.0,13.0,3.0,21.0,21.0,20.0,0.0,0.0,0.0
Frank Boya,cm CMR,MF,Antwerp,24-244,1996,9.0,6.0,513.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.18,0.18,0.0,0.18,5.7,11.0,2.0,18.2,1.93,0.35,0.0,0.0,0.0,11.0,9.0,3.0,6.0,10.0,9.0,0.0,0.0,0.0
George Broadbent,eng ENG,MF,Beerschot,20-153,2000,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loris Brogno,be BEL,FW,Beerschot,28-165,1992,11.0,4.0,429.0,2.0,2.0,0.0,0.0,1.0,1.0,0.42,0.42,0.84,0.42,0.84,4.8,10.0,2.0,20.0,2.1,0.42,0.2,1.0,0.0,8.0,12.0,1.0,11.0,5.0,1.0,0.0,0.0,0.0
Christian Brüls,be BEL,MF,Sint-Truiden,32-153,1988,10.0,9.0,729.0,1.0,2.0,0.0,0.0,0.0,0.0,0.12,0.25,0.37,0.12,0.37,8.1,18.0,5.0,27.8,2.22,0.62,0.06,0.2,0.0,3.0,12.0,0.0,33.0,2.0,8.0,0.0,0.0,0.0
Gianni Bruno,be BEL,"MF,FW",Zulte Waregem,29-195,1991,29.0,29.0,2517.0,17.0,4.0,3.0,4.0,2.0,0.0,0.61,0.14,0.75,0.5,0.64,28.0,94.0,32.0,34.0,3.36,1.14,0.15,0.44,0.0,26.0,43.0,8.0,58.0,14.0,17.0,0.0,0.0,0.0
