player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Dominic Calvert-Lewin,eng ENG,FW,Everton,23-351,1997,22.0,21.0,1881.0,13.0,0.0,0.0,0.0,3.0,0.0,0.62,0.0,0.62,0.62,0.62,20.9,55.0,32.0,58.2,2.63,1.53,0.24,0.41,0.0,27.0,28.0,14.0,12.0,4.0,9.0,2.0,0.0,0.0
João Cancelo,pt POR,DF,Manchester City,26-279,1994,20.0,19.0,1703.0,1.0,2.0,0.0,0.0,4.0,0.0,0.05,0.11,0.16,0.05,0.16,18.9,25.0,8.0,32.0,1.32,0.42,0.04,0.13,0.0,25.0,11.0,1.0,44.0,33.0,33.0,0.0,0.0,0.0
Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,21-021,2000,10.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,5.0,3.0,60.0,1.78,1.07,0.0,0.0,0.0,3.0,5.0,2.0,8.0,0.0,5.0,0.0,0.0,0.0
Andy Carroll,eng ENG,FW,Newcastle Utd,32-055,1989,14.0,4.0,381.0,1.0,0.0,0.0,0.0,1.0,0.0,0.24,0.0,0.24,0.24,0.24,4.2,14.0,2.0,14.3,3.31,0.47,0.07,0.5,0.0,10.0,10.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
Matty Cash,eng ENG,DF,Aston Villa,23-207,1997,21.0,21.0,1822.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.1,0.1,0.0,0.1,20.2,7.0,1.0,14.3,0.35,0.05,0.0,0.0,0.0,24.0,16.0,1.0,49.0,34.0,30.0,0.0,1.0,0.0
Kiko Casilla,es ESP,GK,Leeds United,34-151,1986,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timothy Castagne,be BEL,DF,Leicester City,25-087,1995,15.0,15.0,1265.0,1.0,2.0,0.0,0.0,1.0,0.0,0.07,0.14,0.21,0.07,0.21,14.1,3.0,2.0,66.7,0.21,0.14,0.33,0.5,0.0,11.0,8.0,0.0,23.0,12.0,25.0,0.0,0.0,0.0
Jonny Castro,es ESP,DF,Wolves,26-364,1994,4.0,4.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,6.0,7.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0
Ivan Cavaleiro,pt POR,"FW,MF",Fulham,27-135,1993,24.0,17.0,1578.0,3.0,0.0,1.0,2.0,2.0,0.0,0.17,0.0,0.17,0.11,0.11,17.5,36.0,14.0,38.9,2.05,0.8,0.06,0.14,0.0,24.0,20.0,8.0,39.0,8.0,14.0,0.0,0.0,0.0
Edinson Cavani,uy URU,FW,Manchester Utd,34-016,1987,17.0,8.0,852.0,6.0,2.0,0.0,0.0,1.0,0.0,0.63,0.21,0.85,0.63,0.85,9.5,25.0,10.0,40.0,2.64,1.06,0.24,0.6,0.0,13.0,12.0,4.0,5.0,7.0,5.0,0.0,0.0,0.0
